伝票日付,売上日付,支払日付,業者CD,業者名,伝票区分CD,伝票区分名,品名CD,品名,正味重量,数量,単位CD,単位名,単価,金額,受入番号,集計項目CD,集計項目
2025-03-31,2025/03/31(月),2025/03/31(月),1308,ｵﾈｽﾄ･ﾜﾝ,1,売上,30,選別,80,80,3,kg,60,"4,800",46735,2.0,B（残置）
2025-03-31,2025/03/31(月),2025/03/31(月),1308,ｵﾈｽﾄ･ﾜﾝ,2,支払,68,GC 軽鉄･ｽﾁｰﾙ類,160,160,3,kg,0,0,46735,2.0,B（残置）
2025-03-31,2025/03/31(月),2025/03/31(月),1314,大類商事,1,売上,20,軽量物系A(ｳﾚﾀﾝ),70,70,3,kg,220,"15,400",46704,3.0,C（解体）
2025-03-31,2025/03/31(月),2025/03/31(月),1395,昭和女子大学,1,売上,1,混合廃棄物A,370,370,3,kg,65,"24,050",46655,1.0,A（事業）
2025-03-31,2025/03/31(月),2025/03/31(月),1428,安田学園,1,売上,1,混合廃棄物A,710,710,3,kg,65,"46,150",46639,1.0,A（事業）
2025-03-31,2025/03/31(月),2025/03/31(月),1434,(ｻﾝﾃｸﾉ)東和ｴﾝｼﾞﾆｱﾘﾝｸﾞ,1,売上,1,混合廃棄物A,100,100,3,kg,58,"5,800",46716,6.0,F（他）
2025-03-31,2025/03/31(月),2025/03/31(月),1434,(ｻﾝﾃｸﾉ)東和ｴﾝｼﾞﾆｱﾘﾝｸﾞ,1,売上,30,選別,60,60,3,kg,50,"3,000",46716,6.0,F（他）
2025-03-31,2025/03/31(月),2025/03/31(月),1461,千代田電設,1,売上,1,混合廃棄物A,140,140,3,kg,65,"9,100",46669,1.0,A（事業）
2025-03-31,2025/03/31(月),2025/03/31(月),1461,千代田電設,1,売上,30,選別,330,330,3,kg,70,"23,100",46669,1.0,A（事業）
2025-03-31,2025/03/31(月),2025/03/31(月),1461,千代田電設,2,支払,68,GC 軽鉄･ｽﾁｰﾙ類,60,60,3,kg,0,0,46669,1.0,A（事業）
2025-03-31,2025/03/31(月),2025/03/31(月),1497,岩瀬運輸機工,1,売上,29,木くず,"3,480","3,480",3,kg,35,"121,800",46698,1.0,A（事業）
2025-03-31,2025/03/31(月),2025/03/31(月),1500,ｽﾀｰｾﾞﾝﾛｼﾞｽﾃｨｸｽ,1,売上,1,混合廃棄物A,"1,240","1,240",3,kg,54,"66,960",46649,1.0,A（事業）
2025-03-31,2025/03/31(月),2025/03/31(月),1595,希松,1,売上,349,運搬費(4ｔｺﾝﾃﾅ),,1,7,台,"20,000","20,000",46694,2.0,B（残置）
2025-03-31,2025/03/31(月),2025/03/31(月),1595,希松,1,売上,416,鉄千地,530,530,3,kg,0,0,46694,2.0,B（残置）
2025-03-31,2025/03/31(月),2025/03/31(月),1656,真和商事,1,売上,1,混合廃棄物A,470,470,3,kg,60,"28,200",46625,2.0,B（残置）
2025-03-31,2025/03/31(月),2025/03/31(月),1656,真和商事,1,売上,1,混合廃棄物A,580,580,3,kg,60,"34,800",46634,2.0,B（残置）
2025-03-31,2025/03/31(月),2025/03/31(月),1656,真和商事,1,売上,93,混合廃棄物(ﾋﾞﾝ･缶･ﾍﾟｯﾄﾎﾞﾄﾙ),120,120,3,kg,45,"5,400",46625,2.0,B（残置）
2025-03-31,2025/03/31(月),2025/03/31(月),1656,真和商事,1,売上,93,混合廃棄物(ﾋﾞﾝ･缶･ﾍﾟｯﾄﾎﾞﾄﾙ),140,140,3,kg,45,"6,300",46634,2.0,B（残置）
2025-03-31,2025/03/31(月),2025/03/31(月),2246,東ｿｰ物流,1,売上,1,混合廃棄物A,730,730,3,kg,60,"43,800",46635,2.0,B（残置）
2025-03-31,2025/03/31(月),2025/03/31(月),955,CRASHIP,1,売上,2,混合廃棄物B,380,380,3,kg,70,"26,600",46710,3.0,C（解体）
2025-03-31,2025/03/31(月),2025/03/31(月),9054,ﾕｱｰｽﾞｽﾀｲﾙ,1,売上,1,混合廃棄物A,800,800,3,kg,65,"52,000",46714,,
